x,y,length
625.0,25.0,3301800.0
635.0,25.0,3457100.0
645.0,25.0,3617100.0
655.0,25.0,3782000.0
665.0,25.0,4118700.0
675.0,25.0,4235300.0
685.0,25.0,4350800.0
695.0,25.0,4464800.0
705.0,25.0,4576900.0
715.0,25.0,4686700.0
725.0,25.0,4793800.0
735.0,25.0,4897800.0
745.0,25.0,4998300.0
395.0,35.0,1783300.0
385.0,35.0,1782800.0
375.0,35.0,1782800.0
365.0,35.0,1783500.0
355.0,35.0,1882100.0
345.0,35.0,1981800.0
335.0,35.0,2082800.0
325.0,35.0,2185300.0
475.0,35.0,1812700.0
465.0,35.0,1806200.0
455.0,35.0,1799600.0
445.0,35.0,1793300.0
435.0,35.0,1786300.0
425.0,35.0,1785800.0
415.0,35.0,1785000.0
405.0,35.0,1784100.0
225.0,35.0,3458300.0
235.0,35.0,3317000.0
205.0,35.0,3450500.0
215.0,35.0,3603300.0
185.0,35.0,3299200.0
195.0,35.0,3294900.0
165.0,35.0,3322300.0
175.0,35.0,3308200.0
305.0,35.0,2414700.0
315.0,35.0,2295800.0
285.0,35.0,2659000.0
295.0,35.0,2535700.0
265.0,35.0,2913300.0
275.0,35.0,2784800.0
245.0,35.0,3179200.0
255.0,35.0,3044700.0
695.0,35.0,4236300.0
685.0,35.0,4128000.0
715.0,35.0,4446200.0
705.0,35.0,4342500.0
655.0,35.0,3794500.0
645.0,35.0,3575100.0
675.0,35.0,4018000.0
665.0,35.0,3906700.0
15.0,45.0,4552300.0
5.0,45.0,4639400.0
35.0,45.0,4401600.0
25.0,45.0,4473100.0
735.0,35.0,4644500.0
725.0,35.0,4547000.0
745.0,35.0,4738300.0
525.0,35.0,1940200.0
535.0,35.0,2053200.0
545.0,35.0,2168900.0
555.0,35.0,2287500.0
485.0,35.0,1818700.0
495.0,35.0,1823800.0
505.0,35.0,1827600.0
515.0,35.0,1829700.0
605.0,35.0,2962500.0
615.0,35.0,3109000.0
625.0,35.0,3259800.0
635.0,35.0,3415100.0
565.0,35.0,2415500.0
575.0,35.0,2546800.0
585.0,35.0,2681600.0
595.0,35.0,2820100.0
305.0,45.0,2386700.0
315.0,45.0,2267800.0
285.0,45.0,2631000.0
295.0,45.0,2507700.0
345.0,45.0,1941000.0
355.0,45.0,1841300.0
325.0,45.0,2150800.0
335.0,45.0,2042000.0
225.0,45.0,3430300.0
235.0,45.0,3289000.0
205.0,45.0,3429200.0
215.0,45.0,3575300.0
265.0,45.0,2885300.0
275.0,45.0,2756800.0
245.0,45.0,3151200.0
255.0,45.0,3016700.0
155.0,45.0,3142500.0
145.0,45.0,3147600.0
135.0,45.0,3158000.0
125.0,45.0,3173900.0
195.0,45.0,3273600.0
185.0,45.0,3113900.0
175.0,45.0,3118400.0
165.0,45.0,3127800.0
75.0,45.0,3800400.0
65.0,45.0,4006000.0
55.0,45.0,4280900.0
45.0,45.0,4337600.0
115.0,45.0,3195500.0
105.0,45.0,3223000.0
95.0,45.0,3409100.0
85.0,45.0,3601500.0
605.0,45.0,2928000.0
615.0,45.0,3074500.0
625.0,45.0,3225300.0
635.0,45.0,3380600.0
645.0,45.0,3540600.0
655.0,45.0,3595100.0
665.0,45.0,3702200.0
675.0,45.0,3808200.0
525.0,45.0,1899400.0
535.0,45.0,2012400.0
545.0,45.0,2128100.0
555.0,45.0,2253000.0
565.0,45.0,2381000.0
575.0,45.0,2512300.0
585.0,45.0,2647100.0
595.0,45.0,2785600.0
455.0,45.0,1660200.0
445.0,45.0,1654800.0
475.0,45.0,1670900.0
465.0,45.0,1665700.0
495.0,45.0,1678800.0
485.0,45.0,1675400.0
515.0,45.0,1788900.0
505.0,45.0,1680700.0
375.0,45.0,1645000.0
365.0,45.0,1742700.0
395.0,45.0,1645500.0
385.0,45.0,1645000.0
415.0,45.0,1647200.0
405.0,45.0,1646300.0
435.0,45.0,1648500.0
425.0,45.0,1648000.0
225.0,55.0,3409600.0
235.0,55.0,3268300.0
205.0,55.0,3415200.0
215.0,55.0,3554600.0
185.0,55.0,3099900.0
195.0,55.0,3259600.0
165.0,55.0,2940600.0
175.0,55.0,2935900.0
145.0,55.0,2955500.0
155.0,55.0,2950400.0
125.0,55.0,2981800.0
135.0,55.0,2965900.0
105.0,55.0,3183400.0
115.0,55.0,3003400.0
85.0,55.0,3561900.0
95.0,55.0,3369500.0
75.0,55.0,3760800.0
65.0,55.0,4028800.0
55.0,55.0,4078400.0
45.0,55.0,4135100.0
35.0,55.0,4199100.0
25.0,55.0,4270600.0
15.0,55.0,4349800.0
5.0,55.0,4436900.0
745.0,45.0,4485800.0
735.0,45.0,4398700.0
725.0,45.0,4307700.0
715.0,45.0,4213200.0
705.0,45.0,4115600.0
695.0,45.0,4015300.0
685.0,45.0,3912700.0
525.0,55.0,1865900.0
535.0,55.0,1978900.0
545.0,55.0,2100900.0
555.0,55.0,2225800.0
485.0,55.0,1539400.0
495.0,55.0,1541100.0
505.0,55.0,1647200.0
515.0,55.0,1755400.0
445.0,55.0,1523600.0
455.0,55.0,1528100.0
465.0,55.0,1532500.0
475.0,55.0,1536400.0
405.0,55.0,1515800.0
415.0,55.0,1516700.0
425.0,55.0,1517500.0
435.0,55.0,1518000.0
375.0,55.0,1611500.0
365.0,55.0,1709200.0
395.0,55.0,1515000.0
385.0,55.0,1514500.0
335.0,55.0,2014800.0
325.0,55.0,2130100.0
355.0,55.0,1807800.0
345.0,55.0,1907500.0
295.0,55.0,2487000.0
285.0,55.0,2610300.0
315.0,55.0,2247100.0
305.0,55.0,2366000.0
255.0,55.0,2996000.0
245.0,55.0,3130500.0
275.0,55.0,2736100.0
265.0,55.0,2864600.0
185.0,65.0,3093000.0
195.0,65.0,3252700.0
165.0,65.0,2760500.0
175.0,65.0,2929000.0
145.0,65.0,2770500.0
155.0,65.0,2765400.0
125.0,65.0,2796800.0
135.0,65.0,2780900.0
265.0,65.0,2851000.0
275.0,65.0,2722500.0
245.0,65.0,3116900.0
255.0,65.0,2982400.0
225.0,65.0,3396000.0
235.0,65.0,3254700.0
205.0,65.0,3408300.0
215.0,65.0,3541000.0
355.0,65.0,1781400.0
345.0,65.0,1887400.0
335.0,65.0,2001200.0
325.0,65.0,2116500.0
315.0,65.0,2233500.0
305.0,65.0,2352400.0
295.0,65.0,2473400.0
285.0,65.0,2596700.0
435.0,65.0,1394600.0
425.0,65.0,1394100.0
415.0,65.0,1393300.0
405.0,65.0,1392400.0
395.0,65.0,1391600.0
385.0,65.0,1488100.0
375.0,65.0,1585100.0
365.0,65.0,1682800.0
605.0,55.0,2900800.0
615.0,55.0,3047300.0
625.0,55.0,3198100.0
635.0,55.0,3353400.0
565.0,55.0,2353800.0
575.0,55.0,2485100.0
585.0,55.0,2619900.0
595.0,55.0,2758400.0
685.0,55.0,3704700.0
695.0,55.0,3801600.0
705.0,55.0,3896000.0
715.0,55.0,3987500.0
645.0,55.0,3398100.0
655.0,55.0,3403000.0
665.0,55.0,3505000.0
675.0,55.0,3605700.0
15.0,65.0,4154400.0
5.0,65.0,4241500.0
35.0,65.0,4003700.0
25.0,65.0,4075200.0
735.0,55.0,4160200.0
725.0,55.0,4075700.0
745.0,55.0,4240600.0
95.0,65.0,3337000.0
85.0,65.0,3529400.0
115.0,65.0,2970900.0
105.0,65.0,3150900.0
55.0,65.0,3883000.0
45.0,65.0,3939700.0
75.0,65.0,3790700.0
65.0,65.0,3833400.0
25.0,75.0,3886700.0
35.0,75.0,3815200.0
5.0,75.0,4053000.0
15.0,75.0,3965900.0
65.0,75.0,3644900.0
75.0,75.0,3602200.0
45.0,75.0,3751200.0
55.0,75.0,3694500.0
105.0,75.0,3125300.0
115.0,75.0,2945300.0
85.0,75.0,3566200.0
95.0,75.0,3311400.0
145.0,75.0,2592400.0
155.0,75.0,2587300.0
125.0,75.0,2771200.0
135.0,75.0,2602800.0
235.0,75.0,3248000.0
225.0,75.0,3389300.0
215.0,75.0,3534300.0
275.0,75.0,2715800.0
265.0,75.0,2844300.0
255.0,75.0,2975700.0
245.0,75.0,3110200.0
315.0,75.0,2226800.0
305.0,75.0,2345700.0
295.0,75.0,2466700.0
285.0,75.0,2590000.0
445.0,65.0,1399500.0
455.0,65.0,1403100.0
465.0,65.0,1406400.0
475.0,65.0,1409000.0
485.0,65.0,1410500.0
495.0,65.0,1514700.0
505.0,65.0,1620800.0
515.0,65.0,1729000.0
525.0,65.0,1839500.0
535.0,65.0,1958800.0
545.0,65.0,2080800.0
555.0,65.0,2205700.0
565.0,65.0,2333700.0
575.0,65.0,2465000.0
585.0,65.0,2599800.0
595.0,65.0,2738300.0
615.0,65.0,3027200.0
605.0,65.0,2880700.0
635.0,65.0,3333300.0
625.0,65.0,3178000.0
655.0,65.0,3218000.0
645.0,65.0,3213100.0
675.0,65.0,3410300.0
665.0,65.0,3314900.0
695.0,65.0,3595000.0
685.0,65.0,3503800.0
715.0,65.0,3768900.0
705.0,65.0,3683500.0
735.0,65.0,3928800.0
725.0,65.0,3850800.0
745.0,65.0,4002500.0
35.0,85.0,3633400.0
25.0,85.0,3704900.0
15.0,85.0,3784100.0
5.0,85.0,3871200.0
745.0,75.0,3771300.0
735.0,75.0,3704300.0
725.0,75.0,3632800.0
715.0,75.0,3557200.0
705.0,75.0,3477900.0
695.0,75.0,3395300.0
685.0,75.0,3309800.0
675.0,75.0,3221800.0
665.0,75.0,3131700.0
655.0,75.0,3039900.0
645.0,75.0,3035000.0
145.0,85.0,2421000.0
155.0,85.0,2415900.0
125.0,85.0,2752300.0
135.0,85.0,2583900.0
105.0,85.0,3106400.0
115.0,85.0,2926400.0
85.0,85.0,3384400.0
95.0,85.0,3354900.0
65.0,85.0,3463100.0
75.0,85.0,3420400.0
45.0,85.0,3569400.0
55.0,85.0,3512700.0
455.0,75.0,1285000.0
445.0,75.0,1282300.0
475.0,75.0,1288500.0
465.0,75.0,1287200.0
415.0,75.0,1276800.0
405.0,75.0,1275900.0
435.0,75.0,1278100.0
425.0,75.0,1277600.0
375.0,75.0,1565600.0
365.0,75.0,1663300.0
395.0,75.0,1372100.0
385.0,75.0,1468600.0
335.0,75.0,1994500.0
325.0,75.0,2109800.0
355.0,75.0,1768200.0
345.0,75.0,1880700.0
605.0,75.0,2867500.0
615.0,75.0,3014000.0
625.0,75.0,3164800.0
635.0,75.0,3320100.0
565.0,75.0,2320500.0
575.0,75.0,2451800.0
585.0,75.0,2586600.0
595.0,75.0,2725100.0
525.0,75.0,1826300.0
535.0,75.0,1945600.0
545.0,75.0,2067600.0
555.0,75.0,2192500.0
485.0,75.0,1391000.0
495.0,75.0,1495200.0
505.0,75.0,1601300.0
515.0,75.0,1709500.0
635.0,85.0,2854000.0
625.0,85.0,3158300.0
615.0,85.0,3007500.0
605.0,85.0,2861000.0
675.0,85.0,3040000.0
665.0,85.0,2955200.0
655.0,85.0,2868500.0
645.0,85.0,2863600.0
555.0,85.0,2186000.0
545.0,85.0,2061100.0
535.0,85.0,1939100.0
525.0,85.0,1819800.0
595.0,85.0,2718600.0
585.0,85.0,2580100.0
575.0,85.0,2445300.0
565.0,85.0,2314000.0
25.0,95.0,3529600.0
35.0,95.0,3458100.0
5.0,95.0,3695900.0
15.0,95.0,3608800.0
65.0,95.0,3287800.0
75.0,95.0,3245100.0
45.0,95.0,3394100.0
55.0,95.0,3337400.0
705.0,85.0,3279000.0
715.0,85.0,3352200.0
685.0,85.0,3122500.0
695.0,85.0,3202300.0
745.0,85.0,3546800.0
725.0,85.0,3421500.0
735.0,85.0,3486500.0
445.0,85.0,1171800.0
455.0,85.0,1173600.0
465.0,85.0,1174700.0
475.0,85.0,1275700.0
485.0,85.0,1378200.0
495.0,85.0,1482400.0
505.0,85.0,1588500.0
515.0,85.0,1703000.0
365.0,85.0,1656800.0
375.0,85.0,1552800.0
385.0,85.0,1455800.0
395.0,85.0,1359300.0
405.0,85.0,1263100.0
415.0,85.0,1167000.0
425.0,85.0,1167800.0
435.0,85.0,1168300.0
615.0,95.0,2950800.0
605.0,95.0,2810600.0
635.0,95.0,2689100.0
625.0,95.0,2833600.0
575.0,95.0,2413800.0
565.0,95.0,2288800.0
595.0,95.0,2674500.0
585.0,95.0,2542300.0
695.0,95.0,3015800.0
